Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W),Wage Difference,Annual Difference,Cents per dollar,Gender Gap
Building and grounds cleaning and maintenance occupations,3347.0,623.0,2094.0,685.0,1253.0,555.0,130.0,6760.0,81.02,18.97810218978102
First-line supervisors of housekeeping and janitorial workers,176.0,829.0,116.0,881.0,60.0,728.0,153.0,7956.0,82.63,17.366628830874006
Janitors and building cleaners,1437.0,630.0,943.0,675.0,494.0,561.0,114.0,5928.0,83.11,16.88888888888889
Maids and housekeeping cleaners,744.0,546.0,107.0,622.0,637.0,529.0,93.0,4836.0,85.05,14.951768488745982
Personal care and service occupations,1543.0,618.0,387.0,699.0,1157.0,603.0,96.0,4992.0,86.27,13.733905579399142
Sales and office occupations,21748.0,826.0,8677.0,970.0,13071.0,766.0,204.0,10608.0,78.97,21.030927835051546
Sales and related occupations,9281.0,887.0,5090.0,1049.0,4191.0,720.0,329.0,17108.0,68.64,31.36320305052431
First-line supervisors of retail sales workers,2165.0,875.0,1175.0,992.0,990.0,733.0,259.0,13468.0,73.89,26.108870967741936
First-line supervisors of non-retail sales workers,833.0,1191.0,540.0,1257.0,292.0,1130.0,127.0,6604.0,89.9,10.103420843277645
Cashiers,1235.0,515.0,346.0,520.0,888.0,513.0,7.0,364.0,98.65,1.3461538461538463
Retail salespersons,1665.0,745.0,999.0,855.0,666.0,635.0,220.0,11440.0,74.27,25.730994152046783
Insurance sales agents,462.0,1008.0,213.0,1253.0,249.0,839.0,414.0,21528.0,66.96,33.04070231444533
"Securities, commodities, and financial services sales agents",206.0,1630.0,137.0,1891.0,69.0,1054.0,837.0,43524.0,55.74,44.26229508196721
"Sales representatives of services, except advertising, insurance, financial services, and travel",523.0,1169.0,368.0,1237.0,155.0,1122.0,115.0,5980.0,90.7,9.296685529506872
"Sales representatives, wholesale and manufacturing",1014.0,1263.0,712.0,1356.0,301.0,1157.0,199.0,10348.0,85.32,14.67551622418879
Real estate brokers and sales agents,524.0,1141.0,222.0,1324.0,302.0,1037.0,287.0,14924.0,78.32,21.676737160120847
"Sales and related workers, all other",298.0,943.0,157.0,1017.0,140.0,843.0,174.0,9048.0,82.89,17.10914454277286
Office and administrative support occupations,12467.0,806.0,3587.0,899.0,8880.0,779.0,120.0,6240.0,86.65,13.348164627363737
First-line supervisors of office and administrative support workers,1098.0,964.0,341.0,1184.0,757.0,913.0,271.0,14092.0,77.11,22.888513513513516
Billing and posting clerks,398.0,772.0,53.0,767.0,346.0,774.0,-7.0,-364.0,100.91,-0.9126466753585397
"Bookkeeping, accounting, and auditing clerks",741.0,825.0,137.0,1009.0,604.0,802.0,207.0,10764.0,79.48,20.515361744301288
Customer service representatives,1863.0,780.0,645.0,867.0,1219.0,737.0,130.0,6760.0,85.01,14.994232987312571
Receptionists and information clerks,871.0,685.0,97.0,796.0,774.0,674.0,122.0,6344.0,84.67,15.326633165829145
Couriers and messengers,492.0,802.0,402.0,846.0,90.0,680.0,166.0,8632.0,80.38,19.62174940898345
"Dispatchers, except police, fire, and ambulance",163.0,812.0,92.0,842.0,71.0,765.0,77.0,4004.0,90.86,9.144893111638956
