Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
Bailiffs,20.00,–,10.00,–,10.00,–
Correctional officers and jailers,275.00,920.00,199.00,983.00,76.00,807.00
Detectives and criminal investigators,120.00,1294.00,86.00,1319.00,34.00,–
Fish and game wardens,6.00,–,6.00,–,0.00,–
Parking enforcement workers,12.00,–,9.00,–,2.00,–
Police officers,751.00,1232.00,638.00,1242.00,113.00,1197.00
Animal control workers,7.00,–,3.00,–,4.00,–
Private detectives and investigators,70.00,1018.00,35.00,–,35.00,–
Security guards and gambling surveillance officers,675.00,689.00,502.00,704.00,172.00,641.00
Crossing guards and flaggers,22.00,–,17.00,–,6.00,–
Transportation security screeners,42.00,–,21.00,–,21.00,–
School bus monitors,14.00,–,1.00,–,13.00,–
Other protective service workers,48.00,–,26.00,–,22.00,–
Food preparation and serving related occupations,3863.00,573.00,1962.00,598.00,1901.00,534.00
Chefs and head cooks,319.00,750.00,256.00,777.00,63.00,655.00
First-line supervisors of food preparation and serving workers,349.00,621.00,126.00,706.00,223.00,596.00
Cooks,1187.00,549.00,751.00,572.00,436.00,512.00
Food preparation workers,439.00,547.00,184.00,571.00,254.00,531.00
Bartenders,217.00,668.00,106.00,709.00,111.00,627.00
Fast food and counter workers,268.00,507.00,96.00,511.00,172.00,503.00
Waiters and waitresses,674.00,576.00,258.00,605.00,416.00,524.00
"Food servers, nonrestaurant",102.00,544.00,23.00,–,79.00,529.00
Dining room and cafeteria attendants and bartender helpers,102.00,509.00,52.00,583.00,50.00,477.00
Dishwashers,128.00,512.00,92.00,511.00,36.00,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",77.00,498.00,17.00,–,60.00,500.00
"Food preparation and serving related workers, all other",1.00,–,0.00,–,1.00,–
Building and grounds cleaning and maintenance occupations,3347.00,623.00,2094.00,685.00,1253.00,555.00
First-line supervisors of housekeeping and janitorial workers,176.00,829.00,116.00,881.00,60.00,728.00
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",76.00,900.00,65.00,907.00,11.00,–
Janitors and building cleaners,1437.00,630.00,943.00,675.00,494.00,561.00
Maids and housekeeping cleaners,744.00,546.00,107.00,622.00,637.00,529.00
Pest control workers,108.00,868.00,102.00,876.00,6.00,–
Landscaping and groundskeeping workers,738.00,622.00,693.00,629.00,45.00,–
Tree trimmers and pruners,59.00,846.00,59.00,851.00,1.00,–
Other grounds maintenance workers,9.00,–,9.00,–,0.00,–
Personal care and service occupations,1543.00,618.00,387.00,699.00,1157.00,603.00
Supervisors of personal care and service workers,92.00,784.00,33.00,–,59.00,743.00
Animal trainers,27.00,–,11.00,–,15.00,–
Animal caretakers,133.00,595.00,29.00,–,104.00,600.00
Gambling services workers,54.00,852.00,26.00,–,28.00,–
"Ushers, lobby attendants, and ticket takers",9.00,–,5.00,–,4.00,–
Other entertainment attendants and related workers,68.00,615.00,41.00,–,28.00,–
"Embalmers, crematory operators, and funeral attendants",3.00,–,2.00,–,1.00,–
"Morticians, undertakers, and funeral arrangers",18.00,–,13.00,–,6.00,–
Barbers,36.00,–,28.00,–,8.00,–
"Hairdressers, hairstylists, and cosmetologists",252.00,604.00,24.00,–,228.00,595.00
Manicurists and pedicurists,153.00,655.00,26.00,–,128.00,624.00
Skincare specialists,27.00,–,1.00,–,26.00,–
Other personal appearance workers,2.00,–,0.00,–,2.00,–
"Baggage porters, bellhops, and concierges",62.00,612.00,45.00,–,17.00,–
Tour and travel guides,10.00,–,9.00,–,1.00,–
Childcare workers,402.00,569.00,28.00,–,374.00,571.00
Exercise trainers and group fitness instructors,54.00,729.00,24.00,–,31.00,–
Recreation workers,88.00,652.00,27.00,–,61.00,653.00
Residential advisors,22.00,–,6.00,–,16.00,–
"Personal care and service workers, all other",31.00,–,8.00,–,22.00,–
Sales and office occupations,21748.00,826.00,8677.00,970.00,13071.00,766.00
Sales and related occupations,9281.00,887.00,5090.00,1049.00,4191.00,720.00
First-line supervisors of retail sales workers,2165.00,875.00,1175.00,992.00,990.00,733.00
First-line supervisors of non-retail sales workers,833.00,1191.00,540.00,1257.00,292.00,1130.00
Cashiers,1235.00,515.00,346.00,520.00,888.00,513.00
Counter and rental clerks,56.00,781.00,37.00,–,19.00,–
Parts salespersons,103.00,778.00,84.00,776.00,19.00,–
Retail salespersons,1665.00,745.00,999.00,855.00,666.00,635.00
Advertising sales agents,93.00,1174.00,44.00,–,50.00,1136.00
Insurance sales agents,462.00,1008.00,213.00,1253.00,249.00,839.00
"Securities, commodities, and financial services sales agents",206.00,1630.00,137.00,1891.00,69.00,1054.00
Travel agents,33.00,–,10.00,–,23.00,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",523.00,1169.00,368.00,1237.00,155.00,1122.00
