Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
CHL,42.0,Chile,0.187,47.0,13.0,24.1,32.7,80.3,83.5,44.2,65.5,0.838,0.867,81.4,76.5,17.0,16.5,10.8,11.0,17553.0,31677.0,22.10355,9.85396,0.0,29.6,4.5,0,80.0,,52.2956021,26.98999977,48542.0,95444.0,100.0,1,77.4,70.6,13.2,South America
QAT,42.0,Qatar,0.22,54.0,9.0,7.1,4.4,79.8,69.6,57.2,95.5,0.866,0.85,80.9,78.3,14.5,12.1,11.6,9.6,42101.0,104066.0,8.19444,2.22222,0.0,,,0,29.375,,30.091659,1.25999999,1863.0,12975.0,0.0,0,,,,Middle  East
SMR,44.0,San Marino,,,,3.8,33.3,81.8,84.3,,,,,83.5,78.4,11.8,12.8,10.9,10.7,,,,,0.0,,,0,80.0,,,,,,60.0,1,,,,
,45.0,Slovakia,0.18,45.0,5.0,26.3,22.7,98.9,99.2,54.7,66.4,0.847,0.848,78.4,71.5,15.0,14.0,12.9,13.0,24849.0,36813.0,,,,,,,,,,,,,,,,,,Europe
HUN,46.0,Hungary,0.221,55.0,12.0,22.1,13.1,97.6,98.8,52.1,67.2,0.84,0.851,77.9,71.1,15.3,14.8,12.1,12.4,25909.0,40262.0,17.27674,7.9796,0.0,51.9,22.1,1,96.875,,51.3454283,22.29999924,,,100.0,1,78.2,72.2,6.9,Europe
ARG,47.0,Argentina,0.287,69.0,39.0,39.1,44.4,71.0,71.4,50.0,71.6,0.833,0.836,78.6,72.2,19.2,16.6,11.4,10.9,15581.0,26376.0,23.41864,9.2486,1.0,57.8,8.0,0,79.375,,53.1551654,39.31999969,,,60.0,1,,,,South America
,48.0,Türkiye,0.272,65.0,17.0,16.9,17.3,56.3,75.9,31.8,69.4,0.806,0.86,79.1,73.0,17.9,18.8,7.9,9.4,19079.0,42929.0,,,,,,,,,,,,,,,82.3,53.2,16.0,
MNE,49.0,Montenegro,0.119,32.0,6.0,10.4,24.7,92.3,99.2,47.8,62.0,0.823,0.84,79.8,73.0,15.6,14.6,11.8,12.6,15935.0,26001.0,,,0.0,24.0,15.0,1,85.0,,43.548906,8.75,,,80.0,1,,,,Europe
KWT,50.0,Kuwait,0.305,74.0,12.0,5.6,1.5,60.9,55.2,47.4,83.8,0.831,0.824,81.5,77.2,17.0,13.9,8.1,6.9,28086.0,68827.0,,,0.0,,,0,35.0,,,,,,0.0,0,,,,Middle  East
BRN,51.0,Brunei Darussalam,0.259,61.0,31.0,10.0,9.1,70.4,71.2,54.1,72.3,0.819,0.833,76.9,72.6,14.4,13.5,9.2,9.2,47579.0,80261.0,,,0.0,,,0,53.125,,50.5317862,12.34000015,510.0,1129.0,0.0,0,,,,
RUS,52.0,Russian Federation,0.203,50.0,17.0,15.0,16.5,92.8,95.9,54.5,69.7,0.828,0.815,74.8,64.2,16.0,15.6,12.8,12.8,21857.0,33288.0,18.40278,8.125,1.0,34.0,24.3,0,73.125,,63.7829803,6.289999962,,,80.0,1,,,,
ROU,53.0,Romania,0.282,67.0,19.0,36.4,18.5,88.8,93.7,42.8,62.3,0.819,0.823,77.9,70.6,14.7,13.8,11.0,11.6,24554.0,35874.0,19.02778,9.375,1.0,32.4,17.2,1,90.625,,51.0571962,14.32999992,47464.0,73628.0,100.0,1,,,,Europe
OMN,54.0,Oman,0.3,72.0,19.0,9.9,9.9,96.6,99.9,28.7,85.0,0.752,0.835,74.7,71.0,15.0,14.5,12.1,11.4,7169.0,39717.0,,,0.0,,,0,38.75,,,,1644.0,10265.0,0.0,1,,,,Middle  East
,55.0,Bahamas,0.329,78.0,70.0,25.7,20.0,87.0,89.9,65.6,71.5,,,75.1,68.1,,,12.7,12.6,25897.0,35495.0,,,,,,,,,,,,,,,,,,
KAZ,56.0,Kazakhstan,0.161,41.0,10.0,21.9,24.5,99.8,100.0,63.3,75.5,0.809,0.811,73.1,65.5,16.0,15.5,12.4,12.3,18976.0,29305.0,18.95833,6.25,0.0,30.5,26.0,0,69.375,,62.8040923,6.539999962,7526.0,18793.0,80.0,1,,,,Asia Pacific
TTO,57.0,Trinidad and Tobago,0.344,81.0,67.0,38.1,32.4,84.8,80.6,46.7,68.0,0.801,0.814,76.4,69.7,14.8,14.2,11.7,11.5,16794.0,30166.0,,,0.0,45.1,20.8,1,75.0,,45.7939463,6.139999866,,,20.0,1,,,,South America
CRI,58.0,Costa Rica,0.256,60.0,27.0,37.1,45.6,56.2,54.5,47.5,71.1,0.806,0.81,79.8,74.4,17.1,16.0,8.9,8.7,16568.0,23376.0,22.14571,8.37858,1.0,43.5,15.4,0,86.25,,46.1177687,30.22999954,,,40.0,1,75.5,60.9,,South America
URY,58.0,Uruguay,0.235,58.0,17.0,36.2,26.2,59.6,55.5,54.8,69.3,0.812,0.795,79.3,71.7,17.3,15.4,9.3,8.7,17125.0,25680.0,19.87475,8.37738,1.0,37.0,10.6,0,88.75,,,,,,80.0,1,,,,South America
BLR,60.0,Belarus,0.104,29.0,2.0,11.9,34.7,97.5,99.0,57.3,71.4,0.812,0.803,77.7,67.3,15.3,15.0,12.2,12.1,15158.0,23165.0,19.16667,9.51389,1.0,45.5,21.1,0,75.625,,74.5708923,7.960000038,3238.0,9801.0,80.0,1,,,,Europe
PAN,61.0,Panama,0.392,96.0,52.0,69.9,22.5,70.2,68.7,50.4,72.6,0.812,0.798,79.6,73.0,13.6,12.5,10.8,10.3,23380.0,30531.0,17.95164,7.57184,0.0,24.7,23.5,0,79.375,79.1,42.6495514,33.34000015,,,80.0,1,,,,South America
MYS,62.0,Malaysia,0.228,57.0,29.0,9.3,14.9,75.0,78.4,51.2,77.6,0.794,0.809,77.4,72.7,13.8,12.9,10.6,10.7,20672.0,32380.0,,,0.0,25.4,26.3,0,50.0,,38.7251027,9.31000042,30301.0,74836.0,0.0,0,,,,Asia Pacific
GEO,63.0,Georgia,0.28,66.0,25.0,31.7,19.3,97.1,98.3,51.0,68.0,0.803,0.798,76.7,66.8,15.9,15.2,12.9,12.8,11285.0,18472.0,,,0.0,22.4,16.5,1,88.125,82.4,53.0113836,20.79000092,7218.0,19546.0,80.0,1,,,,Europe
